"","airport_id","name","city","country","iata","icao","latitude","longitude","altitude","timezone","dst","database_timezone","type","source"
"GDQ",1114,"Gonder Airport","Gondar","Ethiopia","GDQ","HAGN",12.5199003219604,37.4339981079102,6449,"3","U","Africa/Addis_Ababa","airport","OurAirports"
"JIM",1116,"Jimma Airport","Jimma","Ethiopia","JIM","HAJM",7.66609001159668,36.8166007995605,5500,"3","U","Africa/Addis_Ababa","airport","OurAirports"
"LLI",1117,"Lalibella Airport","Lalibella","Ethiopia","LLI","HALL",11.9750003814697,38.9799995422363,6506,"3","U","Africa/Addis_Ababa","airport","OurAirports"
"MQX",1118,"Mekele Airport","Makale","Ethiopia","MQX","HAMK",13.467399597168,39.5335006713867,7396,"3","U","Africa/Addis_Ababa","airport","OurAirports"
"ASO",1119,"Asosa Airport","Asosa","Ethiopia","ASO","HASO",10.018500328064,34.5862998962402,5100,"3","U","Africa/Addis_Ababa","airport","OurAirports"
"BJM",1120,"Bujumbura International Airport","Bujumbura","Burundi","BJM","HBBA",-3.32401990890503,29.3185005187988,2582,"2","U","Africa/Bujumbura","airport","OurAirports"
"HGA",1121,"Egal International Airport","Hargeisa","Somalia","HGA","HCMH",9.51817035675049,44.0887985229492,4423,"3","U","Africa/Mogadishu","airport","OurAirports"
"BBO",1122,"Berbera Airport","Berbera","Somalia","BBO","HCMI",10.3892002105713,44.9411010742188,30,"3","U","Africa/Mogadishu","airport","OurAirports"
"KMU",1123,"Kisimayu Airport","Kismayu","Somalia","KMU","HCMK",-0.377353012561798,42.4592018127441,49,"3","U","Africa/Mogadishu","airport","OurAirports"
"ALY",1126,"El Nouzha Airport","Alexandria","Egypt","ALY","HEAX",31.1839008331299,29.9489002227783,-6,"2","U","Africa/Cairo","airport","OurAirports"
"ABS",1127,"Abu Simbel Airport","Abu Simbel","Egypt","ABS","HEBL",22.3759994507,31.611700058,616,"2","U","Africa/Cairo","airport","OurAirports"
"CAI",1128,"Cairo International Airport","Cairo","Egypt","CAI","HECA",30.1219005584717,31.4055995941162,382,"2","U","Africa/Cairo","airport","OurAirports"
"CWE",1129,"Cairo West Airport","Cairo","Egypt","CWE","HECW",30.116399765,30.9153995514,550,"2","U","Africa/Cairo","airport","OurAirports"
"HRG",1130,"Hurghada International Airport","Hurghada","Egypt","HRG","HEGN",27.1783008575439,33.7994003295898,52,"2","U","Africa/Cairo","airport","OurAirports"
"EGH",1131,"El Gora Airport","El Gorah","Egypt","EGH","HEGR",31.068559,34.129629,324,"2","U","Africa/Cairo","airport","OurAirports"
"LXR",1132,"Luxor International Airport","Luxor","Egypt","LXR","HELX",25.671,32.7066,294,"2","U","Africa/Cairo","airport","OurAirports"
"MUH",1133,"Mersa Matruh Airport","Mersa-matruh","Egypt","MUH","HEMM",31.3253993988,27.2217006683,94,"2","U","Africa/Cairo","airport","OurAirports"
"PSD",1134,"Port Said Airport","Port Said","Egypt","PSD","HEPS",31.2793998718262,32.2400016784668,8,"2","U","Africa/Cairo","airport","OurAirports"
